iid,pid,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,
1,11,female,21,27,6,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,35,20,20,20,0,5,6,8,8,8,8,6,15,20,20,15,15,15,6,8,8,8,7,6,9,7,7,6,5,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.14,3,2,4,7,6,0,1,0,0,
1,12,female,21,22,1,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,60,0,0,40,0,0,7,8,10,7,7,5,15,20,20,15,15,15,6,8,8,8,7,7,8,7,8,5,6,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.54,3,2,4,7,5,1,1,0,0,
1,13,female,21,22,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,2,4,law,19,18,19,18,14,12,10,10,10,10,10,10,15,20,20,15,15,15,6,8,8,8,7,5,8,9,8,5,7,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.16,3,2,4,7,,1,1,1,1,
1,14,female,21,23,2,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,30,5,15,40,5,5,7,8,9,8,9,8,15,20,20,15,15,15,6,8,8,8,7,7,6,8,7,6,8,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.61,3,2,4,7,6,0,1,1,1,
1,15,female,21,24,3,asian/pacific islander/asian-american,latino/hispanic american,0,2,4,law,30,10,20,10,10,20,8,7,9,6,9,7,15,20,20,15,15,15,6,8,8,8,7,5,6,7,7,6,6,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.21,3,2,4,6,6,0,1,1,1,
1,16,female,21,25,4,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,50,0,30,10,0,10,7,7,8,8,7,7,15,20,20,15,15,15,6,8,8,8,7,4,9,7,4,6,4,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.25,3,2,4,6,5,0,0,1,0,
1,17,female,21,30,9,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,35,15,25,10,5,10,3,6,7,5,8,7,15,20,20,15,15,15,6,8,8,8,7,7,6,7,4,6,7,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.34,3,2,4,6,5,0,1,0,0,
1,18,female,21,27,6,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,15,20,20,15,15,15,6,8,8,8,7,4,9,7,6,5,6,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.5,3,2,4,6,7,,0,0,0,
1,19,female,21,28,7,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,50,0,25,10,0,15,7,7,8,8,8,9,15,20,20,15,15,15,6,8,8,8,7,7,6,8,9,8,8,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,0.28,3,2,4,7,7,0,1,1,1,
1,20,female,21,24,3,asian/pacific islander/asian-american,european/caucasian-american,0,2,4,law,100,0,0,0,0,0,6,6,6,6,6,6,15,20,20,15,15,15,6,8,8,8,7,5,6,6,8,10,8,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,-0.36,3,2,4,6,6,0,1,0,0,
2,11,female,24,27,3,european/caucasian-american,european/caucasian-american,1,2,5,law,35,20,20,20,0,5,8,7,6,9,7,4,45,5,25,20,0,5,7,5,10,8,3,5,7,8,4,6,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,0.29,4,5,3,6,4,0,0,0,0,
